N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"59,500",200,+0.34%,100,"3,552,021","5,969,783",49.96,"12,053,813",9.65,13.92,
2,LG에너지솔루션,"485,500",500,-0.10%,500,"1,136,070","234,000",5.14,"310,663",197.84,10.68,
3,삼성바이오로직스,"835,000","12,000",+1.46%,"2,500","594,303","71,174",10.75,"41,042",113.36,8.21,
4,SK하이닉스,"78,400","1,800",-2.24%,"5,000","570,754","728,002",49.97,"3,678,254",6.15,16.84,
5,삼성SDI,"667,000","2,000",+0.30%,"5,000","458,659","68,765",47.44,"257,483",27.35,8.45,
6,LG화학,"645,000","2,000",+0.31%,"5,000","455,321","70,592",48.28,"173,605",22.70,18.47,
7,삼성전자우,"53,800",200,-0.37%,100,"442,713","822,887",71.73,"936,447",8.73,N/A,
8,현대차,"162,500",500,+0.31%,"5,000","347,211","213,668",28.93,"440,113",7.25,6.84,
9,NAVER,"180,500","2,000",-1.10%,100,"296,109","164,049",48.47,"906,454",31.80,106.72,
10,기아,"64,100",0,0.00%,"5,000","259,838","405,363",35.96,"1,117,317",5.62,14.69,
11,셀트리온,"179,000",500,-0.28%,"1,000","252,041","140,805",21.46,"256,930",42.45,16.04,
12,카카오,"54,400",900,-1.63%,100,"242,303","445,410",26.74,"2,459,458",15.60,17.10,
13,POSCO홀딩스,"279,000","4,500",-1.59%,"5,000","235,954","84,571",51.67,"355,537",4.57,13.97,
14,삼성물산,"120,000",0,0.00%,100,"224,264","186,887",16.93,"166,609",12.68,5.40,
15,KB금융,"51,900",300,+0.58%,"5,000","212,218","408,897",73.23,"1,272,937",4.60,9.80,
16,현대모비스,"206,500",500,+0.24%,"5,000","194,699","94,285",36.08,"174,449",8.15,6.87,
17,신한지주,"37,450",250,-0.66%,"5,000","190,540","508,785",62.34,"863,633",4.18,8.80,
18,SK이노베이션,"169,500","2,000",+1.19%,"5,000","156,729","92,466",25.67,"224,416",7.18,1.91,
19,SK,"203,500",500,+0.25%,200,"150,894","74,149",22.51,"108,649",4.41,10.19,
20,삼성생명,"73,200",200,-0.27%,500,"146,400","200,000",13.65,"215,005",20.65,4.01,
21,포스코케미칼,"188,500",500,+0.27%,500,"146,018","77,463",8.79,"459,419",90.80,7.92,
22,LG전자,"87,200","1,500",-1.69%,"5,000","142,701","163,648",26.26,"619,883",9.97,6.32,
23,한국전력,"21,650",800,+3.84%,"5,000","138,985","641,964",14.36,"4,726,413",-0.68,-7.99,
24,KT&G,"97,500",700,-0.71%,"5,000","133,860","137,292",43.12,"489,570",11.52,10.74,
25,하나금융지주,"44,750",200,+0.45%,"5,000","132,417","295,903",70.35,"1,149,908",3.61,10.86,
26,LG,"80,000",200,-0.25%,"5,000","125,841","157,301",36.27,"226,498",5.83,12.36,
27,카카오뱅크,"26,000",50,-0.19%,"5,000","123,946","476,714",13.59,"3,180,931",51.79,4.91,
28,고려아연,"596,000","5,000",+0.85%,"5,000","118,384","19,863",22.91,"76,079",15.58,11.07,
29,LG생활건강,"693,000","4,000",+0.58%,"5,000","108,234","15,618",35.96,"42,752",25.45,16.65,
30,SK텔레콤,"48,800",500,-1.01%,100,"106,791","218,833",45.75,"981,595",11.30,13.63,
31,HMM,"21,800",300,+1.40%,"5,000","106,611","489,039",9.50,"1,169,489",0.93,88.62,
32,현대중공업,"118,500","2,500",+2.16%,"5,000","105,196","88,773",6.30,"150,803",-14.81,-14.87,
33,삼성전기,"140,000",0,0.00%,"5,000","104,571","74,694",28.31,"588,978",11.39,14.29,
34,두산에너빌리티,"16,200",400,-2.41%,"5,000","103,406","638,308",11.53,"3,483,976",324.00,10.67,
35,삼성화재,"214,000","3,500",+1.66%,500,"101,382","47,375",50.27,"136,592",9.35,7.09,
36,S-Oil,"88,300",200,+0.23%,"2,500","99,411","112,583",80.04,"237,827",4.76,21.76,
37,삼성에스디에스,"125,000","2,000",-1.57%,500,"96,722","77,378",13.92,"123,073",10.08,8.80,
38,엔씨소프트,"438,500","4,500",+1.04%,500,"96,268","21,954",44.36,"89,146",16.28,12.62,
39,한화솔루션,"49,600","1,200",+2.48%,"5,000","94,874","191,278",25.23,"993,480",32.61,8.79,
40,KT,"36,300",350,-0.95%,"5,000","94,784","261,112",43.41,"631,272",6.65,9.36,
41,우리금융지주,"12,850",200,+1.58%,"5,000","93,556","728,061",39.89,"2,005,560",3.07,10.59,
42,대한항공,"24,700",150,-0.60%,"5,000","90,950","368,221",16.14,"1,242,426",4.92,11.60,
